user_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,rfm_segment
40387,1548,1,22.989999771118164,1,1,1,111,At Risk
62756,817,1,17.989999771118164,1,1,1,111,At Risk
33753,1652,1,24,1,1,1,111,At Risk
8836,999,1,9.119999885559082,1,1,1,111,At Risk
22509,859,1,25,1,1,1,111,At Risk
31100,1805,1,9.93000030517578,1,1,1,111,At Risk
87352,911,1,12.989999771118164,1,1,1,111,At Risk
12234,1164,1,29.950000762939453,1,1,1,111,At Risk
96917,1538,1,25,1,1,1,111,At Risk
5270,1518,1,19.989999771118164,1,1,1,111,At Risk
24856,940,1,10,1,1,1,111,At Risk
33812,1461,1,19.950000762939453,1,1,1,111,At Risk
52303,1020,1,33.489999771118164,1,1,1,111,At Risk
49983,875,1,25.409999847412109,1,1,1,111,At Risk
87820,1486,1,24.950000762939453,1,1,1,111,At Risk
17624,1484,1,27.950000762939453,1,1,1,111,At Risk
11246,1397,1,26.989999771118164,1,1,1,111,At Risk
29816,1123,1,36.050000190734863,1,1,1,111,At Risk
19635,1793,1,22,1,1,1,111,At Risk
31842,1219,1,28,1,1,1,111,At Risk
31616,974,1,34.9900016784668,1,1,1,111,At Risk
17443,979,1,22.989999771118164,1,1,1,111,At Risk
9945,958,1,25,1,1,1,111,At Risk
53059,2093,1,23.989999771118164,1,1,1,111,At Risk
30721,1656,1,29.25,1,1,1,111,At Risk
48628,1200,1,34.9900016784668,1,1,1,111,At Risk
81476,1677,1,8.3900003433227557,1,1,1,111,At Risk
32015,1051,1,7.9499998092651358,1,1,1,111,At Risk
84091,1040,1,24.989999771118164,1,1,1,111,At Risk
42470,1368,1,12.130000114440918,1,1,1,111,At Risk
13540,1262,1,29.950000762939453,1,1,1,111,At Risk
33882,1045,1,28,1,1,1,111,At Risk
47068,1063,1,20.299999237060547,1,1,1,111,At Risk
20922,874,1,11.989999771118164,1,1,1,111,At Risk
41044,825,1,32.9399995803833,1,1,1,111,At Risk
22556,1178,1,11.350000381469728,1,1,1,111,At Risk
40257,1466,1,9.9499998092651367,1,1,1,111,At Risk
81047,924,1,25,1,1,1,111,At Risk
54643,1262,1,13.989999771118164,1,1,1,111,At Risk
16651,868,1,25,1,1,1,111,At Risk
73568,982,1,18.5,1,1,1,111,At Risk
72449,862,1,11.989999771118164,1,1,1,111,At Risk
32229,997,1,32.2400016784668,1,1,1,111,At Risk
95615,849,1,14.819999694824221,1,1,1,111,At Risk
25336,1966,1,16.989999771118164,1,1,1,111,At Risk
10182,930,1,24.989999771118164,1,1,1,111,At Risk
90694,1177,1,28.8799991607666,1,1,1,111,At Risk
11407,1387,1,11.340000152587892,1,1,1,111,At Risk
47060,1312,1,25,1,1,1,111,At Risk
25261,851,1,14.899999618530272,1,1,1,111,At Risk
51130,1435,1,34.9900016784668,1,1,1,111,At Risk
56297,1604,1,20.180000305175781,1,1,1,111,At Risk
49528,1579,1,22,1,1,1,111,At Risk
66640,862,1,30.950000762939453,1,1,1,111,At Risk
11843,1507,1,9.7899999618530273,1,1,1,111,At Risk
96272,964,1,17.989999771118164,1,1,1,111,At Risk
10710,1448,1,34.950000762939453,1,1,1,111,At Risk
95006,1067,1,28.75,1,1,1,111,At Risk
23081,1566,1,16.950000762939453,1,1,1,111,At Risk
87364,1186,1,22,1,1,1,111,At Risk
95565,944,1,28.950000762939453,1,1,1,111,At Risk
93035,1301,1,30.860000610351559,1,1,1,111,At Risk
49390,1975,1,33.950000762939453,1,1,1,111,At Risk
2455,1106,1,20.950000762939453,1,1,1,111,At Risk
45410,1274,1,10.6899995803833,1,1,1,111,At Risk
43646,2093,1,35.4900016784668,1,1,1,111,At Risk
87385,1653,1,36.079999923706055,1,1,1,111,At Risk
76671,990,1,34.450000762939453,1,1,1,111,At Risk
54930,900,1,19.899999618530277,1,1,1,111,At Risk
71490,1229,1,37.9900016784668,1,1,1,111,At Risk
36333,1432,1,16.989999771118164,1,1,1,111,At Risk
33219,832,1,33.5,1,1,1,111,At Risk
13543,1040,1,29.930000305175781,1,1,1,111,At Risk
1743,1662,1,34,1,1,1,111,At Risk
6796,1342,1,29,1,1,1,111,At Risk
23580,843,1,21.5,1,1,1,111,At Risk
8584,894,1,11.989999771118164,1,1,1,111,At Risk
57563,1216,1,31.5,1,1,1,111,At Risk
34182,1905,1,19.450000762939453,1,1,1,111,At Risk
92350,1257,1,34.9900016784668,1,1,1,111,At Risk
56661,1281,1,29.900000095367432,1,1,1,111,At Risk
91998,1061,1,25,1,1,1,111,At Risk
477,1401,1,16.579999923706055,1,1,1,111,At Risk
418,1037,1,18.440000534057617,1,1,1,111,At Risk
39250,1021,1,25,1,1,1,111,At Risk
4908,1431,1,14.789999961853027,1,1,1,111,At Risk
49922,1775,1,25,1,1,1,111,At Risk
12999,1057,1,18.989999771118164,1,1,1,111,At Risk
13788,859,1,37.5,1,1,1,111,At Risk
32766,1304,1,25,1,1,1,111,At Risk
2440,1375,1,31.5,1,1,1,111,At Risk
14494,1165,1,7.9499998092651358,1,1,1,111,At Risk
29252,1931,1,32.020000457763672,1,1,1,111,At Risk
57110,863,1,16,1,1,1,111,At Risk
52536,1010,1,36,1,1,1,111,At Risk
82054,1024,1,25,1,1,1,111,At Risk
71536,1714,1,9.8999996185302717,1,1,1,111,At Risk
86319,927,1,24.950000762939453,1,1,1,111,At Risk
29098,1371,1,37.950000762939446,1,1,1,111,At Risk
42305,1337,1,34.5,1,1,1,111,At Risk
38205,1058,1,22.989999771118164,1,1,1,111,At Risk
60955,1218,1,15,1,1,1,111,At Risk
80056,1741,1,12.970000267028809,1,1,1,111,At Risk
98845,993,1,25,1,1,1,111,At Risk
34089,1688,1,19.989999771118164,1,1,1,111,At Risk
